internal_id,official_code,official_code_normalized,province_code,province_name,region_name,region_type,display_name,geometry_source_name,geometry_source_id,alternative_names,autonomous_status,geometry_available,match_status,notes
gb-22746128B56277764926455,61.06,61.06,61,Kalimantan Barat,Ketapang,Kabupaten,Kabupaten Ketapang,Ketapang,22746128B56277764926455,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B24447956326165,33.10,33.10,33,Jawa Tengah,Klaten,Kabupaten,Kabupaten Klaten,Klaten,22746128B24447956326165,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B73073409478343,51.05,51.05,51,Bali,Klungkung,Kabupaten,Kabupaten Klungkung,Klungkung,22746128B73073409478343,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B69202393010200,74.04,74.04,74,Sulawesi Tenggara,Kolaka,Kabupaten,Kabupaten Kolaka,Kolaka,22746128B69202393010200,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B88028223529334,74.11,74.11,74,Sulawesi Tenggara,Kolaka Timur,Kabupaten,Kabupaten Kolaka Timur,Kolaka Timur,22746128B88028223529334,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B11198700179718,74.08,74.08,74,Sulawesi Tenggara,Kolaka Utara,Kabupaten,Kabupaten Kolaka Utara,Kolaka Utara,22746128B11198700179718,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B78249855862414,74.03,74.03,74,Sulawesi Tenggara,Konawe,Kabupaten,Kabupaten Konawe,Konawe,22746128B78249855862414,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B22870517920414,74.12,74.12,74,Sulawesi Tenggara,Konawe Kepulauan,Kabupaten,Kabupaten Konawe Kepulauan,Konawe Kepulauan,22746128B22870517920414,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B90195550492320,74.05,74.05,74,Sulawesi Tenggara,Konawe Selatan,Kabupaten,Kabupaten Konawe Selatan,Konawe Selatan,22746128B90195550492320,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B68991025063444,74.10,74.10,74,Sulawesi Tenggara,Konawe Utara,Kabupaten,Kabupaten Konawe Utara,Konawe Utara,22746128B68991025063444,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B58388026658287,81.71,81.71,81,Maluku,Kota Ambon,Kota,Kota Ambon,Kota Ambon,22746128B58388026658287,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B66626446070966,64.71,64.71,64,Kalimantan Timur,Kota Balikpapan,Kota,Kota Balikpapan,Kota Balikpapan,22746128B66626446070966,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B56363132836699,11.71,11.71,11,Aceh,Kota Banda Aceh,Kota,Kota Banda Aceh,Kota Banda Aceh,22746128B56363132836699,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B13880384963573,18.71,18.71,18,Lampung,Kota Bandar Lampung,Kota,Kota Bandar Lampung,Kota Bandar Lampung,22746128B13880384963573,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B71762235135177,,,,,Kota Bandung,Unresolved,Kota Bandung,Kota Bandung,22746128B71762235135177,Bandung | Jawa Barat | 32.04; Kota Bandung | Jawa Barat | 32.73,unresolved,yes,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.
gb-22746128B64728543729693,,,,,Kota Banjar,Unresolved,Kota Banjar,Kota Banjar,22746128B64728543729693,Banjar | Kalimantan Selatan | 63.03; Kota Banjar | Jawa Barat | 32.79,unresolved,yes,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.
gb-22746128B6711072078761,63.72,63.72,63,Kalimantan Selatan,Kota Banjar Baru,Kota,Kota Banjar Baru,Kota Banjar Baru,22746128B6711072078761,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B37126944555810,63.71,63.71,63,Kalimantan Selatan,Kota Banjarmasin,Kota,Kota Banjarmasin,Kota Banjarmasin,22746128B37126944555810,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B85816588264471,63.02,63.02,63,Kalimantan Selatan,Kota Baru,Kota,Kota Baru,Kota Baru,22746128B85816588264471,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B16651418017337,21.71,21.71,21,Kepulauan Riau,Kota Batam,Kota,Kota Batam,Kota Batam,22746128B16651418017337,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B69457994360094,35.79,35.79,35,Jawa Timur,Kota Batu,Kota,Kota Batu,Kota Batu,22746128B69457994360094,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B66779214231616,74.72,74.72,74,Sulawesi Tenggara,Kota Baubau,Kota,Kota Baubau,Kota Baubau,22746128B66779214231616,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B54763839112631,,,,,Kota Bekasi,Unresolved,Kota Bekasi,Kota Bekasi,22746128B54763839112631,Bekasi | Jawa Barat | 32.16; Kota Bekasi | Jawa Barat | 32.75,unresolved,yes,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.
gb-22746128B322693337562,17.71,17.71,17,Bengkulu,Kota Bengkulu,Kota,Kota Bengkulu,Kota Bengkulu,22746128B322693337562,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B33789977192923,,,,,Kota Bima,Unresolved,Kota Bima,Kota Bima,22746128B33789977192923,Bima | Nusa Tenggara Barat | 52.06; Kota Bima | Nusa Tenggara Barat | 52.72,unresolved,yes,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.
